"","dist_year","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other"
"475","32276_2011-12","0","0","*",2,"0","0",0
"476","32276_2011-12","0","0","*",2,"0","0",0
"477","32276_2011-12","0","0","*",2,"0","0",0
"478","32276_2011-12","0","0","*",2,"0","0",0
"479","32276_2011-12","0","0","*",2,"0","0",0
"480","32276_2011-12","0","0","*",2,"0","0",0
"481","32276_2011-12","*","0","*",2,"0","0",0
"482","32276_2011-12","*","0","*",2,"0","0",0
"483","32276_2011-12","*","0","*",2,"0","0",0
"484","32276_2011-12","*","0","*",2,"0","0",0
"485","32276_2011-12","*","0","0",2,"0","0",0
"486","32276_2011-12","*","0","0",2,"0","0",0
"487","32276_2011-12","*","0","0",2,"0","0",0
"488","32276_2011-12","*","0","0",2,"0","0",0
"489","32276_2011-12","*","0","*",2,"0","0",0
"490","32276_2011-12","*","0","*",2,"0","0",0
"491","32276_2011-12","*","0","*",2,"0","0",0
"492","32276_2011-12","*","0","*",2,"0","0",0
"493","32276_2011-12","0","0","0",2,"0","0",0
"494","32276_2011-12","0","0","0",2,"0","0",0
"495","32276_2011-12","0","0","0",2,"0","0",0
"496","32276_2011-12","0","0","0",2,"0","0",0
"497","32276_2011-12","*","0","*",2,"0","0",0
"498","32276_2011-12","*","0","*",2,"0","0",0
"499","32276_2011-12","*","0","*",2,"0","0",0
"500","32276_2011-12","*","0","*",2,"0","0",0
"501","32276_2011-12","*","0","*",2,"0","0",0
"502","32276_2011-12","*","0","*",2,"0","0",0
"503","32276_2011-12","*","0","*",2,"0","0",0
"504","32276_2011-12","*","0","*",2,"0","0",0
"505","32276_2011-12","*","0","*",2,"0","0",0
"506","32276_2011-12","*","0","*",2,"0","0",0
"507","32276_2011-12","*","0","*",2,"0","0",0
"508","32276_2011-12","*","0","*",2,"0","0",0
"509","32276_2011-12","*","0","0",2,"0","0",0
"510","32276_2011-12","*","0","0",2,"0","0",0
"511","32276_2011-12","*","0","0",2,"0","0",0
"512","32276_2011-12","*","0","0",2,"0","0",0
"513","32276_2011-12","*","0","*",2,"0","0",0
"514","32276_2011-12","*","0","*",2,"0","0",0
