"","dist_year","Expulsion_Female","Expulsion_Male","Expulsion_Total","Expulsion_Asian","Expulsion_Black","Expulsion_Hispanic","Expulsion_White","Expulsion_Other"
"371","65458_2011-12",0,5,5,0,1,4,0,NA
"372","65466_2011-12",0,12,12,0,1,8,3,NA
"373","65474_2011-12",0,0,0,0,0,0,0,NA
"374","65482_2011-12",5,11,16,2,6,1,5,NA
"375","65516_2011-12",NA,NA,NA,0,0,NA,NA,0
"376","65532_2011-12",4,15,19,0,0,5,13,NA
"377","65540_2011-12",0,0,0,NA,NA,0,0,NA
"378","65557_2011-12",0,0,0,0,NA,0,0,NA
"379","65565_2011-12",0,0,0,0,0,0,0,NA
"380","65573_2011-12",0,0,0,0,0,0,0,NA
"381","65581_2011-12",0,0,0,0,NA,0,0,NA
"382","65599_2011-12",0,0,0,NA,NA,0,0,NA
"383","65607_2011-12",0,0,0,NA,NA,0,0,NA
"384","65615_2011-12",14,39,53,1,0,25,23,4
"385","65623_2011-12",0,0,0,0,NA,0,0,NA
"386","65631_2011-12",1,9,10,1,0,6,3,0
"387","65649_2011-12",0,0,0,0,0,0,0,NA
"388","65680_2011-12",0,0,0,NA,0,0,0,NA
"389","65698_2011-12",0,3,3,0,0,1,1,NA
"390","65722_2011-12",0,0,0,0,NA,0,0,NA
"391","65730_2011-12",1,1,2,NA,NA,1,1,NA
"392","65748_2011-12",0,5,5,0,0,5,0,NA
"393","65755_2011-12",1,8,9,0,0,8,1,NA
"394","65763_2011-12",0,0,0,0,NA,0,0,NA
"395","65771_2011-12",0,3,3,0,0,2,0,1
"396","65789_2011-12",10,35,45,2,6,32,3,2
"397","65813_2011-12",0,0,0,0,0,0,0,0
"398","65821_2011-12",0,0,0,NA,0,0,0,NA
"399","65839_2011-12",0,0,0,NA,0,0,0,NA
"400","65862_2011-12",0,3,3,1,1,1,0,NA
"401","65870_2011-12",0,5,5,0,0,4,1,NA
"402","65896_2011-12",0,4,4,NA,0,1,2,NA
"403","65961_2011-12",0,0,0,0,0,0,0,NA
"404","65979_2011-12",0,0,0,NA,0,0,0,NA
"405","65987_2011-12",0,0,0,0,NA,0,0,NA
"406","65995_2011-12",0,0,0,0,0,0,NA,NA
"407","66027_2011-12",0,0,0,0,0,0,NA,NA
"408","66035_2011-12",0,0,0,NA,0,0,0,NA
"409","66050_2011-12",0,14,14,0,NA,13,0,NA
"410","66068_2011-12",7,19,26,0,NA,25,0,NA
"411","66076_2011-12",0,0,0,NA,0,0,0,NA
"412","66084_2011-12",0,0,0,0,0,0,0,NA
"413","66092_2011-12",0,4,4,0,0,4,0,0
"414","66134_2011-12",0,2,2,0,0,0,2,0
"415","66142_2011-12",0,0,0,0,0,0,0,0
"416","66159_2011-12",2,16,18,0,0,17,1,0
"417","66167_2011-12",0,0,0,0,0,0,0,NA
"418","66175_2011-12",0,0,0,0,0,0,NA,NA
"419","66183_2011-12",0,0,0,0,0,0,NA,0
"420","66191_2011-12",0,0,0,0,0,0,0,NA
"421","66225_2011-12",0,0,0,0,NA,0,0,NA
"422","66233_2011-12",0,0,0,0,NA,0,0,NA
"423","66241_2011-12",0,0,0,0,NA,0,0,NA
"424","66258_2011-12",0,0,0,NA,NA,0,0,NA
"425","66266_2011-12",9,44,53,0,4,26,15,8
"426","66282_2011-12",0,0,0,0,NA,0,0,NA
"427","66290_2011-12",0,0,0,0,0,0,0,NA
"428","66316_2011-12",0,0,0,0,0,0,0,NA
"429","66324_2011-12",0,0,0,NA,0,0,0,NA
"430","66332_2011-12",0,3,3,0,0,1,2,NA
"431","66340_2011-12",0,0,0,0,0,0,0,NA
"432","66357_2011-12",2,13,15,0,0,0,14,1
"433","66373_2011-12",0,0,0,NA,0,0,0,NA
"434","66381_2011-12",0,0,0,NA,NA,0,0,NA
"435","66399_2011-12",0,0,0,NA,NA,0,0,NA
"436","66407_2011-12",0,0,0,NA,NA,0,0,NA
"437","66415_2011-12",0,0,0,0,NA,0,0,NA
"438","66423_2011-12",0,0,0,0,0,0,0,0
"439","66431_2011-12",0,0,0,0,0,0,0,0
"440","66449_2011-12",0,2,2,1,0,0,1,NA
"441","66456_2011-12",0,10,10,0,1,7,0,2
"442","66464_2011-12",15,63,78,3,1,43,28,3
"443","66472_2011-12",0,1,1,0,0,1,0,NA
"444","66480_2011-12",0,0,0,0,0,0,0,NA
"445","66498_2011-12",0,1,1,0,0,0,0,1
"446","66506_2011-12",0,1,1,0,0,1,0,0
"447","66514_2011-12",11,40,51,2,1,35,13,0
"448","66522_2011-12",4,34,38,9,1,23,5,0
"449","66530_2011-12",0,2,2,0,0,0,2,NA
"450","66548_2011-12",3,24,27,2,1,11,11,2
"451","66555_2011-12",0,0,0,0,0,0,0,NA
"452","66563_2011-12",0,1,1,0,0,1,0,NA
"453","66589_2011-12",0,0,0,0,0,0,0,0
"454","66597_2011-12",3,14,17,0,0,8,7,NA
"455","66613_2011-12",0,5,5,0,0,3,2,NA
"456","66621_2011-12",0,3,3,0,0,3,0,0
"457","66647_2011-12",3,24,27,0,0,15,10,2
"458","66670_2011-12",8,60,68,0,0,66,2,0
"459","66696_2011-12",0,0,0,0,0,0,0,NA
"460","66746_2011-12",0,2,2,0,0,2,0,0
"461","66761_2011-12",0,0,0,NA,NA,0,0,NA
"462","66779_2011-12",0,0,0,NA,0,0,0,NA
"463","66787_2011-12",0,0,0,0,0,0,0,NA
"464","66795_2011-12",0,0,0,NA,NA,0,0,NA
"465","66803_2011-12",0,5,5,0,1,0,2,2
"466","66829_2011-12",0,0,0,0,0,0,0,NA
"467","66837_2011-12",0,1,1,NA,NA,0,1,NA
"468","66845_2011-12",0,1,1,0,0,0,1,NA
"469","66852_2011-12",0,0,0,NA,NA,0,0,NA
"470","66886_2011-12",0,0,0,NA,NA,0,0,NA
"471","66894_2011-12",5,17,22,0,0,3,17,NA
"472","66910_2011-12",1,3,4,0,1,1,2,NA
"473","66928_2011-12",2,14,16,0,0,1,12,3
"474","66944_2011-12",0,1,1,0,0,0,1,NA
"475","66951_2011-12",2,8,10,1,0,1,8,0
"476","66969_2011-12",0,0,0,0,0,0,0,NA
"477","66977_2011-12",12,52,64,1,4,51,7,1
"478","66985_2011-12",6,32,38,0,6,22,6,NA
"479","66993_2011-12",4,18,22,1,6,12,3,0
