"","dist_year","Expulsion_Females","Expulsion_Males","Expulsion_Other","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic"
"384","32276_2011-12","0","0",0,"*","0","0","0"
"385","32276_2011-12","0","0",0,"*","0","0","0"
"386","32276_2011-12","0","0",0,"*","0","*","0"
"387","32276_2011-12","0","0",0,"*","0","*","0"
"388","32276_2011-12","0","0",0,"*","0","*","0"
"389","32276_2011-12","0","0",0,"*","0","*","0"
"390","32276_2011-12","0","0",0,"*","0","*","0"
"391","32276_2011-12","0","0",0,"*","0","*","0"
"392","32276_2011-12","0","0",0,"*","0","*","0"
"393","32276_2011-12","0","0",0,"*","0","*","0"
"394","32276_2011-12","0","0",0,"*","0","0","0"
"395","32276_2011-12","0","0",0,"*","0","0","0"
"396","32276_2011-12","0","0",0,"*","0","0","0"
"397","32276_2011-12","0","0",0,"*","0","0","0"
"398","32276_2011-12","0","0",0,"*","0","0","0"
"399","32276_2011-12","0","0",0,"*","0","0","0"
"400","32276_2011-12","0","0",0,"*","0","0","0"
"401","32276_2011-12","0","0",0,"*","0","0","0"
"402","32276_2011-12","0","0",0,"*","0","*","0"
"403","32276_2011-12","0","0",0,"*","0","*","0"
"404","32276_2011-12","0","0",0,"*","0","*","0"
"405","32276_2011-12","0","0",0,"*","0","*","0"
"406","32276_2011-12","0","0",0,"*","0","*","0"
"407","32276_2011-12","0","0",0,"*","0","*","0"
"408","32276_2011-12","0","0",0,"*","0","*","0"
"409","32276_2011-12","0","0",0,"*","0","*","0"
"410","32276_2011-12","0","0",0,"*","0","0","0"
"411","32276_2011-12","0","0",0,"*","0","0","0"
"412","32276_2011-12","0","0",0,"*","0","0","0"
"413","32276_2011-12","0","0",0,"*","0","0","0"
"414","32276_2011-12","0","0",0,"*","0","0","0"
"415","32276_2011-12","0","0",0,"*","0","0","0"
"416","32276_2011-12","0","0",0,"*","0","0","0"
"417","32276_2011-12","0","0",0,"*","0","0","0"
"418","32276_2011-12","0","0",0,"0","0","*","0"
"419","32276_2011-12","0","0",0,"0","0","*","0"
"420","32276_2011-12","0","0",0,"0","0","*","0"
"421","32276_2011-12","0","0",0,"0","0","*","0"
"422","32276_2011-12","0","0",0,"0","0","*","0"
"423","32276_2011-12","0","0",0,"0","0","*","0"
"424","32276_2011-12","0","0",0,"0","0","*","0"
"425","32276_2011-12","0","0",0,"0","0","*","0"
"426","32276_2011-12","0","0",0,"0","0","0","0"
"427","32276_2011-12","0","0",0,"0","0","0","0"
"428","32276_2011-12","0","0",0,"0","0","0","0"
"429","32276_2011-12","0","0",0,"0","0","0","0"
"430","32276_2011-12","0","0",0,"0","0","0","0"
"431","32276_2011-12","0","0",0,"0","0","0","0"
"432","32276_2011-12","0","0",0,"0","0","0","0"
"433","32276_2011-12","0","0",0,"0","0","0","0"
"434","32276_2011-12","0","0",0,"0","0","*","0"
"435","32276_2011-12","0","0",0,"0","0","*","0"
"436","32276_2011-12","0","0",0,"0","0","*","0"
"437","32276_2011-12","0","0",0,"0","0","*","0"
"438","32276_2011-12","0","0",0,"0","0","*","0"
"439","32276_2011-12","0","0",0,"0","0","*","0"
"440","32276_2011-12","0","0",0,"0","0","*","0"
"441","32276_2011-12","0","0",0,"0","0","*","0"
"442","32276_2011-12","0","0",0,"0","0","0","0"
"443","32276_2011-12","0","0",0,"0","0","0","0"
"444","32276_2011-12","0","0",0,"0","0","0","0"
"445","32276_2011-12","0","0",0,"0","0","0","0"
"446","32276_2011-12","0","0",0,"0","0","0","0"
"447","32276_2011-12","0","0",0,"0","0","0","0"
"448","32276_2011-12","0","0",0,"0","0","0","0"
"449","32276_2011-12","0","0",0,"0","0","0","0"
"450","32276_2011-12","0","0",0,"0","0","*","0"
"451","32276_2011-12","0","0",0,"0","0","*","0"
"452","32276_2011-12","0","0",0,"0","0","*","0"
"453","32276_2011-12","0","0",0,"0","0","*","0"
"454","32276_2011-12","0","0",0,"0","0","*","0"
"455","32276_2011-12","0","0",0,"0","0","*","0"
"456","32276_2011-12","0","0",0,"0","0","*","0"
"457","32276_2011-12","0","0",0,"0","0","*","0"
"458","32276_2011-12","0","0",0,"0","0","0","0"
"459","32276_2011-12","0","0",0,"0","0","0","0"
"460","32276_2011-12","0","0",0,"0","0","0","0"
"461","32276_2011-12","0","0",0,"0","0","0","0"
"462","32276_2011-12","0","0",0,"0","0","0","0"
"463","32276_2011-12","0","0",0,"0","0","0","0"
"464","32276_2011-12","0","0",0,"0","0","0","0"
"465","32276_2011-12","0","0",0,"0","0","0","0"
"466","32276_2011-12","0","0",0,"0","0","*","0"
"467","32276_2011-12","0","0",0,"0","0","*","0"
"468","32276_2011-12","0","0",0,"0","0","*","0"
"469","32276_2011-12","0","0",0,"0","0","*","0"
"470","32276_2011-12","0","0",0,"0","0","*","0"
"471","32276_2011-12","0","0",0,"0","0","*","0"
"472","32276_2011-12","0","0",0,"0","0","*","0"
"473","32276_2011-12","0","0",0,"0","0","*","0"
"474","32276_2011-12","0","0",0,"0","0","0","0"
"475","32276_2011-12","0","0",0,"0","0","0","0"
"476","32276_2011-12","0","0",0,"0","0","0","0"
"477","32276_2011-12","0","0",0,"0","0","0","0"
"478","32276_2011-12","0","0",0,"0","0","0","0"
"479","32276_2011-12","0","0",0,"0","0","0","0"
"480","32276_2011-12","0","0",0,"0","0","0","0"
"481","32276_2011-12","0","0",0,"0","0","0","0"
"482","32276_2011-12","0","0",0,"*","0","*","0"
"483","32276_2011-12","0","0",0,"*","0","*","0"
"484","32276_2011-12","0","0",0,"*","0","*","0"
"485","32276_2011-12","0","0",0,"*","0","*","0"
"486","32276_2011-12","0","0",0,"*","0","*","0"
"487","32276_2011-12","0","0",0,"*","0","*","0"
"488","32276_2011-12","0","0",0,"*","0","*","0"
"489","32276_2011-12","0","0",0,"*","0","*","0"
"490","32276_2011-12","0","0",0,"*","0","0","0"
"491","32276_2011-12","0","0",0,"*","0","0","0"
"492","32276_2011-12","0","0",0,"*","0","0","0"
"493","32276_2011-12","0","0",0,"*","0","0","0"
"494","32276_2011-12","0","0",0,"*","0","0","0"
"495","32276_2011-12","0","0",0,"*","0","0","0"
"496","32276_2011-12","0","0",0,"*","0","0","0"
"497","32276_2011-12","0","0",0,"*","0","0","0"
"498","32276_2011-12","0","0",0,"*","0","*","0"
"499","32276_2011-12","0","0",0,"*","0","*","0"
"500","32276_2011-12","0","0",0,"*","0","*","0"
"501","32276_2011-12","0","0",0,"*","0","*","0"
"502","32276_2011-12","0","0",0,"*","0","*","0"
"503","32276_2011-12","0","0",0,"*","0","*","0"
"504","32276_2011-12","0","0",0,"*","0","*","0"
