"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male","do_asian","do_black","do_hisp","do_white","do_other","do_female","do_male","EnglishLearner","FreeReduced","Foster","ucCsu_asian","ucCsu_black","ucCsu_hisp","ucCsu_white","ucCsu_other","ucCsu_female","ucCsu_male","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","ucCsu_total","do_total","exp_tot","sus_tot","enroll_tot"
"91","72470_2014-15",10,16,134,201,12,186,187,0,0,0,0,0,0,0,143,986,1,0,0,0,0,0,0,0,"0","0","0",0,0,0,0,"Ventura",9,2,"0","0",9,"2",0,0,0,0,11,373
"92","72520_2013-14",34,15,470,781,37,662,675,0,0,2,7,0,4,5,3525,5501,7,4,0,19,50,4,35,42,"0","0","0",0,0,0,0,"Ventura",98,28,"1","0",35,"81",9,77,9,0,126,1337
"93","72520_2015-16",21,14,417,780,44,632,644,0,0,2,8,1,5,6,3179,4797,11,0,0,0,0,0,0,0,"0","0","0",0,0,0,0,"Ventura",54,26,"0","0",10,"68",2,0,11,0,80,1276
"94","72710_2013-14",226,48,2869,1182,115,2180,2260,3,0,53,17,2,28,47,3754,13686,30,27,4,159,102,5,178,119,"0","0","0",2,1,1,0,"Yolo",1150,285,"22","22",1015,"319",57,297,75,2,1435,4440
"95","72710_2014-15",226,47,2940,1141,126,2187,2293,2,1,31,13,1,13,35,4702,13636,54,21,1,157,85,4,153,115,"0","0","0",0,0,0,0,"Yolo",1786,570,"42","80",1738,"384",112,268,48,0,2356,4480
"96","72710_2015-16",215,60,2990,1088,144,2205,2292,1,3,25,13,0,16,26,4095,13006,58,17,0,133,85,10,136,109,"0","0","0",4,3,1,0,"Yolo",1155,354,"10","39",1161,"265",34,245,42,4,1509,4497
"97","72710_2016-17",222,63,3006,1033,164,2247,2241,2,1,24,10,1,13,25,3575,13003,56,17,5,160,94,11,184,103,"0","0","0",8,7,1,0,"Yolo",1029,322,"23","54",959,"278",37,287,38,8,1351,4488
"98","73460_2013-14",4958,238,1790,813,624,4083,4340,15,2,2,1,0,4,16,6836,10348,30,704,16,129,58,74,512,469,"0","0","0",0,0,0,0,"Los Angeles",336,56,"113","52",164,"42",21,981,20,0,392,8423
"99","73460_2014-15",4933,214,1785,801,640,4029,4344,14,1,6,2,2,10,15,4368,9981,34,662,15,138,65,64,497,447,"0","0","0",0,0,0,0,"Los Angeles",233,54,"82","29",138,"24",14,944,25,0,287,8373
"100","73460_2015-16",4783,210,1766,752,648,3922,4237,10,0,3,0,2,3,12,3796,11758,47,657,22,112,86,66,467,476,"0","0","0",0,0,0,0,"Los Angeles",197,52,"62","26",110,"34",17,943,15,0,249,8159
"101","73460_2016-17",4650,191,1811,697,692,3882,4159,5,0,6,2,0,2,11,3804,9365,30,659,10,133,78,72,523,429,"0","0","0",1,1,0,0,"Los Angeles",200,31,"47","24",106,"27",27,952,13,1,231,8041
"102","73650_2013-14",6050,322,1385,4828,1097,6560,7122,15,0,15,30,3,26,37,9539,25678,19,639,18,76,442,91,662,604,"2","2","6",3,11,3,1,"Orange",431,151,"98","68",137,"236",43,1266,63,14,582,13682
"103","73650_2014-15",6439,328,1417,4905,1146,6802,7433,15,4,8,25,4,22,34,8696,27120,33,825,20,87,495,131,785,773,"1","0","5",4,8,2,0,"Orange",539,111,"116","72",163,"228",71,1558,56,10,650,14235
"104","73650_2015-16",6756,327,1441,4946,1184,6970,7684,10,1,12,20,4,21,26,8154,26016,28,797,20,92,474,106,759,730,"1","0","3",2,3,4,1,"Orange",470,83,"128","38",124,"202",61,1489,47,7,553,14654
"105","73650_2016-17",7090,350,1488,4960,1326,7299,7915,17,5,8,20,6,17,39,7108,26881,25,806,14,79,530,121,823,727,"0","0","0",0,0,0,0,"Orange",685,127,"150","89",184,"302",87,1550,56,0,812,15214
