"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"280","10579_2016-17",7,9,138,77,7,69,169
"281","10587_2011-12",12,14,172,241,49,199,289
"282","10587_2012-13",8,21,147,226,42,188,256
"283","10587_2013-14",10,21,139,253,44,185,282
"284","10587_2014-15",4,15,146,205,38,155,253
"285","10587_2015-16",6,15,130,218,71,178,262
"286","10587_2016-17",5,17,120,201,64,155,252
"287","11190_2011-12",1346,542,690,1066,599,2051,2192
"288","11190_2012-13",1260,552,727,1079,579,2044,2153
"289","11190_2013-14",1233,541,758,1069,597,2025,2173
"290","11190_2014-15",1213,529,793,1088,631,2039,2215
"291","11190_2015-16",1195,493,790,1151,654,2019,2264
"292","11190_2016-17",1236,484,800,1172,711,2098,2305
"293","11196_2011-12",376,104,128,313,95,497,519
"294","11196_2012-13",395,101,138,311,124,513,556
"295","11196_2013-14",377,78,132,280,140,486,521
"296","11196_2014-15",371,86,123,283,134,484,513
"297","11196_2015-16",375,81,113,279,141,475,514
"298","11196_2016-17",363,70,121,292,150,478,518
"299","11270_2011-12",400,78,233,390,145,601,645
"300","11270_2012-13",378,78,217,384,134,577,614
"301","11270_2013-14",366,73,214,410,138,569,632
"302","11270_2014-15",359,60,215,442,147,582,641
"303","11270_2015-16",348,64,208,452,157,593,636
"304","11270_2016-17",338,50,202,430,153,578,595
"305","11276_2011-12",163,41,97,240,66,290,317
"306","11276_2012-13",173,26,105,233,72,311,298
"307","11276_2013-14",181,27,105,212,80,308,297
"308","11276_2014-15",174,26,103,199,70,263,309
"309","11276_2015-16",168,20,94,227,65,250,324
"310","11276_2016-17",175,19,91,256,82,300,323
"311","11430_2011-12",275,859,682,1061,601,1772,1706
"312","11430_2012-13",294,827,886,1201,416,1785,1839
"313","11430_2013-14",282,839,980,1240,436,1856,1921
"314","11430_2014-15",268,803,1070,1301,417,1895,1964
"315","11430_2015-16",280,739,1045,1280,437,1871,1910
"316","11430_2016-17",267,664,1020,1249,444,1854,1790
"317","11436_2011-12",114,310,317,395,185,643,678
"318","11436_2012-13",116,295,311,411,146,659,620
"319","11436_2013-14",113,279,282,432,143,642,607
"320","11436_2014-15",96,291,287,473,167,656,658
"321","11436_2015-16",108,263,344,519,182,700,716
"322","11436_2016-17",116,229,310,571,197,693,730
"323","11500_2011-12",713,210,713,1057,418,1524,1587
"324","11500_2012-13",727,241,735,999,443,1576,1569
"325","11500_2013-14",720,244,747,995,448,1594,1560
"326","11500_2014-15",765,253,717,968,445,1589,1559
"327","11500_2015-16",773,245,727,915,438,1580,1518
"328","11500_2016-17",772,218,748,886,452,1561,1515
"329","11506_2011-12",305,97,359,488,229,730,748
"330","11506_2012-13",336,102,365,467,209,751,728
"331","11506_2013-14",364,115,320,434,201,746,688
"332","11506_2014-15",345,101,337,433,216,744,688
"333","11506_2015-16",378,95,357,453,226,758,751
"334","11506_2016-17",393,88,346,431,234,749,743
"335","11680_2011-12",35,164,59,10,3,140,131
"336","11680_2012-13",23,139,49,11,2,119,105
"337","11680_2013-14",21,138,41,13,6,109,110
"338","11680_2014-15",24,118,34,13,2,100,91
"339","11680_2015-16",20,105,31,11,7,83,91
"340","11680_2016-17",24,94,33,17,9,81,96
"341","11686_2011-12",6,21,14,3,1,25,20
"342","11686_2012-13",15,58,27,4,2,68,38
"343","11686_2013-14",10,64,22,4,3,58,45
"344","11686_2014-15",8,59,23,8,2,50,50
"345","11686_2015-16",10,40,22,15,0,39,48
"346","11686_2016-17",10,42,27,9,4,48,44
"347","11760_2011-12",5030,502,1547,2274,807,4801,5359
"348","11760_2012-13",5097,448,1588,2074,959,4843,5323
"349","11760_2013-14",5160,408,1588,1974,931,4800,5261
"350","11760_2014-15",5329,378,1597,1866,956,4834,5292
"351","11760_2015-16",5491,342,1558,1749,1006,4832,5314
"352","11760_2016-17",5727,306,1529,1640,1029,4957,5274
"353","11766_2011-12",2389,241,757,871,398,2204,2452
"354","11766_2012-13",2487,219,747,849,473,2282,2493
"355","11766_2013-14",2692,180,740,782,519,2360,2553
"356","11766_2014-15",2760,162,729,689,528,2422,2446
"357","11766_2015-16",2922,140,776,678,538,2568,2486
"358","11766_2016-17",3150,135,695,701,554,2606,2629
"359","11920_2011-12",493,943,3173,498,901,2962,3046
"360","11920_2012-13",495,896,3275,433,940,2976,3063
"361","11920_2013-14",508,852,3466,398,969,3033,3160
"362","11920_2014-15",528,776,3706,417,915,3046,3296
"363","11920_2015-16",505,695,3857,430,962,3079,3370
"364","11920_2016-17",541,629,4171,428,986,3211,3544
"365","11926_2011-12",233,456,1820,243,381,1495,1638
"366","11926_2012-13",235,395,1950,235,391,1551,1655
"367","11926_2013-14",216,396,1932,205,389,1506,1632
"368","11926_2014-15",228,374,1965,176,418,1509,1652
"369","11926_2015-16",252,360,2021,171,413,1574,1643
"370","11926_2016-17",229,333,1970,139,414,1505,1580
"371","12000_2011-12",205,87,1092,2486,465,2154,2181
"372","12000_2012-13",215,71,1047,2388,441,2083,2079
"373","12000_2013-14",241,78,1081,2412,461,2109,2164
"374","12000_2014-15",237,67,1175,2345,460,2130,2154
"375","12000_2015-16",302,79,1272,2531,577,2337,2424
"376","12000_2016-17",337,77,1285,2500,504,2303,2400
"377","12006_2011-12",91,43,539,961,174,877,931
"378","12006_2012-13",89,40,546,973,182,925,905
"379","12006_2013-14",102,37,558,982,205,943,941
"380","12006_2014-15",122,35,571,966,197,887,1004
"381","12006_2015-16",125,30,585,975,188,936,967
